benchmark,new_sources,total_sources,pt_coverage_pct,informative_pairs,power
GSM8K,0,71,2.8,201,0.668
GSM8K,1,72,4.2,223,0.706
GSM8K,2,73,5.5,244,0.776
GSM8K,3,74,6.8,266,0.764
GSM8K,4,75,8.0,289,0.818
GSM8K,5,76,9.2,312,0.808
GSM8K,6,77,10.4,335,0.884
GSM8K,7,78,11.5,358,0.864
GSM8K,8,79,12.7,382,0.898
GSM8K,9,80,13.8,406,0.946
GSM8K,10,81,14.8,430,0.94
GSM8K,11,82,15.9,454,0.942
GSM8K,12,83,16.9,479,0.964
GSM8K,13,84,17.9,504,0.964
GSM8K,14,85,18.8,530,0.978
GSM8K,15,86,19.8,556,0.968
GSM8K,16,87,20.7,582,0.956
GSM8K,17,88,21.6,608,0.974
GSM8K,18,89,22.5,635,0.964
GSM8K,19,90,23.3,662,0.972
GSM8K,20,91,24.2,689,0.96
GSM8K,21,92,25.0,717,0.968
GSM8K,22,93,25.8,745,0.976
GSM8K,23,94,26.6,773,0.972
GSM8K,24,95,27.4,801,0.984
GSM8K,25,96,28.1,830,0.968
GSM8K,26,97,28.9,859,0.976
GSM8K,27,98,29.6,889,0.968
GSM8K,28,99,30.3,918,0.964
GSM8K,29,100,31.0,948,0.964
GSM8K,30,101,31.7,979,0.96
HellaSwag,0,71,2.8,189,0.106
HellaSwag,1,72,4.2,209,0.114
HellaSwag,2,73,5.5,230,0.102
HellaSwag,3,74,6.8,251,0.124
HellaSwag,4,75,8.0,272,0.138
HellaSwag,5,76,9.2,293,0.146
HellaSwag,6,77,10.4,315,0.16
HellaSwag,7,78,11.5,337,0.138
HellaSwag,8,79,12.7,359,0.176
HellaSwag,9,80,13.8,381,0.162
HellaSwag,10,81,14.8,404,0.138
HellaSwag,11,82,15.9,427,0.204
HellaSwag,12,83,16.9,451,0.16
HellaSwag,13,84,17.9,474,0.176
HellaSwag,14,85,18.8,498,0.184
HellaSwag,15,86,19.8,523,0.212
HellaSwag,16,87,20.7,547,0.21
HellaSwag,17,88,21.6,572,0.17
HellaSwag,18,89,22.5,597,0.222
HellaSwag,19,90,23.3,622,0.21
HellaSwag,20,91,24.2,648,0.234
HellaSwag,21,92,25.0,674,0.192
HellaSwag,22,93,25.8,700,0.208
HellaSwag,23,94,26.6,727,0.178
HellaSwag,24,95,27.4,753,0.204
HellaSwag,25,96,28.1,781,0.222
HellaSwag,26,97,28.9,808,0.204
HellaSwag,27,98,29.6,836,0.19
HellaSwag,28,99,30.3,863,0.208
HellaSwag,29,100,31.0,892,0.168
HellaSwag,30,101,31.7,920,0.224
MMLU,0,71,2.8,278,1.0
MMLU,1,72,4.2,308,1.0
MMLU,2,73,5.5,338,1.0
MMLU,3,74,6.8,369,1.0
MMLU,4,75,8.0,400,1.0
MMLU,5,76,9.2,431,1.0
MMLU,6,77,10.4,463,1.0
MMLU,7,78,11.5,495,1.0
MMLU,8,79,12.7,528,1.0
MMLU,9,80,13.8,561,1.0
MMLU,10,81,14.8,595,1.0
MMLU,11,82,15.9,629,1.0
MMLU,12,83,16.9,663,1.0
MMLU,13,84,17.9,698,1.0
MMLU,14,85,18.8,733,1.0
MMLU,15,86,19.8,769,1.0
MMLU,16,87,20.7,805,1.0
MMLU,17,88,21.6,841,1.0
MMLU,18,89,22.5,878,1.0
MMLU,19,90,23.3,915,1.0
MMLU,20,91,24.2,953,1.0
MMLU,21,92,25.0,991,1.0
MMLU,22,93,25.8,1030,1.0
MMLU,23,94,26.6,1069,1.0
MMLU,24,95,27.4,1108,1.0
MMLU,25,96,28.1,1148,1.0
MMLU,26,97,28.9,1188,1.0
MMLU,27,98,29.6,1229,1.0
MMLU,28,99,30.3,1270,1.0
MMLU,29,100,31.0,1312,1.0
MMLU,30,101,31.7,1354,1.0
HumanEval,0,71,2.8,149,1.0
HumanEval,1,72,4.2,165,1.0
HumanEval,2,73,5.5,181,1.0
HumanEval,3,74,6.8,198,1.0
HumanEval,4,75,8.0,214,1.0
HumanEval,5,76,9.2,231,1.0
HumanEval,6,77,10.4,248,1.0
HumanEval,7,78,11.5,265,1.0
HumanEval,8,79,12.7,283,1.0
HumanEval,9,80,13.8,301,1.0
HumanEval,10,81,14.8,319,1.0
HumanEval,11,82,15.9,337,1.0
HumanEval,12,83,16.9,355,1.0
HumanEval,13,84,17.9,374,1.0
HumanEval,14,85,18.8,393,1.0
HumanEval,15,86,19.8,412,1.0
HumanEval,16,87,20.7,431,1.0
HumanEval,17,88,21.6,451,1.0
HumanEval,18,89,22.5,471,1.0
HumanEval,19,90,23.3,491,1.0
HumanEval,20,91,24.2,511,1.0
HumanEval,21,92,25.0,531,1.0
HumanEval,22,93,25.8,552,1.0
HumanEval,23,94,26.6,573,1.0
HumanEval,24,95,27.4,594,1.0
HumanEval,25,96,28.1,615,1.0
HumanEval,26,97,28.9,637,1.0
HumanEval,27,98,29.6,659,1.0
HumanEval,28,99,30.3,681,1.0
HumanEval,29,100,31.0,703,1.0
HumanEval,30,101,31.7,725,1.0
