source,n_records,pct_n_shot,pct_harness,pct_prompt_template,pct_temperature
hfopenllm_v2,54882,100.0,100.0,100.0,0.0
helm_mmlu,5688,0.0,100.0,0.0,0.0
reward-bench,2404,0.0,100.0,0.0,0.0
helm_classic,2010,0.0,100.0,0.0,0.0
helm_lite,1820,0.0,100.0,0.0,0.0
alpacaeval2,526,0.0,100.0,0.0,0.0
papers_2501.00656,486,100.0,100.0,0.0,0.0
global-mmlu-lite,456,0.0,100.0,0.0,0.0
papers_2405.19327,439,100.0,100.0,0.0,0.0
helm_capabilities,408,0.0,100.0,0.0,0.0
papers_2412.15115,402,100.0,100.0,0.0,0.0
papers_2505.09388,384,100.0,100.0,0.0,0.0
papers_2407.10671,285,100.0,100.0,0.0,0.0
papers_2403.17297,261,100.0,100.0,0.0,0.0
papers_2403.04652,183,100.0,100.0,0.0,0.0
papers_2309.16609,179,100.0,100.0,0.0,0.0
papers_2502.02737,150,100.0,100.0,0.0,0.0
papers_2409.12186,144,100.0,100.0,0.0,0.0
papers_2312.15166,123,100.0,100.0,0.0,0.0
papers_2312.00752,120,100.0,100.0,0.0,0.0
papers_2309.05463,109,100.0,100.0,0.0,0.0
papers_2501.00663,97,100.0,100.0,0.0,0.0
livecodebenchpro,87,0.0,100.0,0.0,0.0
papers_2404.14619,87,100.0,100.0,0.0,0.0
papers_2307.09288,84,100.0,100.0,0.0,0.0
papers_2411.04905,81,100.0,100.0,0.0,0.0
papers_2305.10403,77,100.0,0.0,0.0,0.0
papers_2204.02311,77,100.0,0.0,0.0,0.0
papers_2409.12122,76,100.0,100.0,0.0,0.0
papers_2407.21783,75,100.0,100.0,0.0,0.0
papers_2503.19786,64,100.0,100.0,20.3,0.0
papers_2408.00118,62,100.0,100.0,0.0,0.0
papers_2312.06550,61,100.0,100.0,0.0,0.0
papers_2401.02385,61,100.0,100.0,0.0,0.0
papers_2311.11045,60,100.0,100.0,0.0,0.0
papers_2401.04088,60,100.0,100.0,0.0,0.0
papers_2402.16819,54,100.0,100.0,0.0,0.0
papers_2404.05892,50,100.0,100.0,0.0,0.0
papers_2403.08295,49,100.0,100.0,0.0,0.0
papers_2310.06825,48,100.0,100.0,0.0,0.0
papers_2210.11416,47,100.0,0.0,0.0,0.0
papers_2302.13971,47,100.0,100.0,0.0,0.0
papers_2403.19887,45,100.0,100.0,0.0,0.0
bigcodebench,44,0.0,100.0,0.0,0.0
mt_bench,44,0.0,100.0,0.0,65.9
papers_2406.12793,43,100.0,100.0,0.0,0.0
papers_2406.11704,41,100.0,100.0,0.0,0.0
chatbot_arena,39,0.0,100.0,0.0,0.0
papers_2407.14885,38,100.0,100.0,0.0,0.0
wildbench,30,0.0,100.0,0.0,0.0
papers_2402.00838,29,100.0,100.0,0.0,0.0
helm_instruct,28,0.0,100.0,0.0,0.0
papers_2303.08774,24,100.0,100.0,0.0,0.0
papers_2306.11644,23,100.0,100.0,0.0,0.0
papers_2402.17834,23,100.0,100.0,0.0,0.0
papers_2412.19437,22,100.0,100.0,0.0,0.0
papers_2501.12948,22,100.0,100.0,0.0,0.0
papers_2306.05685,22,100.0,100.0,0.0,0.0
papers_2402.19173,21,100.0,100.0,0.0,0.0
papers_2310.16944,20,100.0,100.0,0.0,0.0
papers_2408.12570,20,100.0,100.0,0.0,0.0
papers_2308.12950,17,100.0,100.0,0.0,0.0
papers_2405.04324,16,100.0,100.0,0.0,0.0
papers_2203.15556,16,100.0,0.0,0.0,0.0
papers_2404.14219,15,100.0,100.0,0.0,0.0
papers_2412.04261,12,100.0,100.0,0.0,0.0
papers_2505.00949,8,100.0,100.0,0.0,0.0
papers_2405.04434,6,100.0,100.0,0.0,0.0
test_eval,4,0.0,0.0,0.0,0.0
papers_2412.08905,1,100.0,100.0,0.0,0.0
papers_2410.21276,1,100.0,100.0,0.0,0.0
papers_2304.01373,1,100.0,100.0,0.0,0.0
latex_src,0,0.0,0.0,0.0,0.0
pdfs,0,0.0,0.0,0.0,0.0
