benchmark,k,mean_power,ci_lo_95,ci_hi_95,r2_obs,r2_shift,power_shifted
AGIEval,2,0.4985,0.4766,0.5204,0.0819,lo,0.498
AGIEval,2,0.4985,0.4766,0.5204,0.0819,hi,0.508
AGIEval,3,0.3145,0.2942,0.3348,0.0819,lo,0.32
AGIEval,3,0.3145,0.2942,0.3348,0.0819,hi,0.316
AGIEval,4,0.1985,0.181,0.216,0.0819,lo,0.204
AGIEval,4,0.1985,0.181,0.216,0.0819,hi,0.202
AGIEval,5,0.2885,0.2686,0.3084,0.0819,lo,0.26
AGIEval,5,0.2885,0.2686,0.3084,0.0819,hi,0.29
AGIEval,6,0.2695,0.2501,0.2889,0.0819,lo,0.28
AGIEval,6,0.2695,0.2501,0.2889,0.0819,hi,0.256
AGIEval,7,0.282,0.2623,0.3017,0.0819,lo,0.274
AGIEval,7,0.282,0.2623,0.3017,0.0819,hi,0.282
AGIEval,8,0.3075,0.2873,0.3277,0.0819,lo,0.282
AGIEval,8,0.3075,0.2873,0.3277,0.0819,hi,0.326
AGIEval,9,0.3145,0.2942,0.3348,0.0819,lo,0.33
AGIEval,9,0.3145,0.2942,0.3348,0.0819,hi,0.322
AGIEval,10,0.3595,0.3385,0.3805,0.0819,lo,0.388
AGIEval,10,0.3595,0.3385,0.3805,0.0819,hi,0.376
AGIEval,11,0.3565,0.3355,0.3775,0.0819,lo,0.354
AGIEval,11,0.3565,0.3355,0.3775,0.0819,hi,0.374
AGIEval,12,0.4,0.3785,0.4215,0.0819,lo,0.398
AGIEval,12,0.4,0.3785,0.4215,0.0819,hi,0.404
AGIEval,13,0.427,0.4053,0.4487,0.0819,lo,0.436
AGIEval,13,0.427,0.4053,0.4487,0.0819,hi,0.388
AGIEval,14,0.4445,0.4227,0.4663,0.0819,lo,0.416
AGIEval,14,0.4445,0.4227,0.4663,0.0819,hi,0.498
AGIEval,15,0.471,0.4491,0.4929,0.0819,lo,0.47
AGIEval,15,0.471,0.4491,0.4929,0.0819,hi,0.442
AGIEval,16,0.494,0.4721,0.5159,0.0819,lo,0.422
AGIEval,16,0.494,0.4721,0.5159,0.0819,hi,0.47
AGIEval,17,0.504,0.4821,0.5259,0.0819,lo,0.534
AGIEval,17,0.504,0.4821,0.5259,0.0819,hi,0.464
AGIEval,18,0.518,0.4961,0.5399,0.0819,lo,0.512
AGIEval,18,0.518,0.4961,0.5399,0.0819,hi,0.53
AGIEval,19,0.541,0.5192,0.5628,0.0819,lo,0.54
AGIEval,19,0.541,0.5192,0.5628,0.0819,hi,0.532
AGIEval,20,0.543,0.5212,0.5648,0.0819,lo,0.538
AGIEval,20,0.543,0.5212,0.5648,0.0819,hi,0.552
ARC-Challenge,2,0.503,0.4811,0.5249,0.0012,lo,0.492
ARC-Challenge,2,0.503,0.4811,0.5249,0.0012,hi,0.516
ARC-Challenge,3,0.288,0.2682,0.3078,0.0012,lo,0.344
